Batch_Speed,Reflex_ms,GK_Type,Max_Reach,X,Y,Dist,Open_Angle_Rad,Open_Angle_Deg,xG,Goals_per_100,Outcome
15,200,3,0.6,-10,1.5,10.11,0.0090,0.52,0.0900,0,SULIT
15,200,3,0.6,-9.5,1.5,9.62,0.0100,0.57,0.0983,0,SULIT
15,200,3,0.6,-9,1.5,9.12,0.0111,0.64,0.1065,0,SULIT
15,200,3,0.6,-8.5,1.5,8.63,0.0124,0.71,0.1147,0,SULIT
15,200,3,0.6,-8,1.5,8.14,0.0140,0.80,0.1226,0,SULIT
15,200,3,0.6,-7.5,1.5,7.65,0.0160,0.91,0.1302,0,SULIT
15,200,3,0.6,-7,1.5,7.16,0.0185,1.06,0.1390,0,SULIT
15,200,3,0.6,-6.5,1.5,6.67,0.0222,1.27,0.1510,0,SULIT
15,200,3,0.6,-6,1.5,6.18,0.0270,1.55,0.1636,0,SULIT
15,200,3,0.6,-5.5,1.5,5.70,0.0334,1.91,0.1770,0,SULIT
15,200,3,0.6,-5,1.5,5.22,0.0421,2.41,0.1913,0,SULIT
15,200,3,0.6,-4.5,1.5,4.74,0.0543,3.11,0.2068,0,SULIT
15,200,3,0.6,-4,1.5,4.27,0.0717,4.11,0.2234,0,SULIT
15,200,3,0.6,-3.5,1.5,3.81,0.0972,5.57,0.2580,0,SULIT
15,200,3,0.6,-3,1.5,3.35,0.1349,7.73,0.2801,0,SULIT
15,200,3,0.6,-2.5,1.5,2.92,0.1892,10.84,0.2957,0,SULIT
15,200,3,0.6,-2,1.5,2.50,0.2588,14.83,0.3005,0,SULIT
15,200,3,0.6,-1.5,1.5,2.12,0.3222,18.46,0.2840,0,SULIT
15,200,3,0.6,-1,1.5,1.80,0.3358,19.24,0.2325,0,SULIT
15,200,3,0.6,-0.5,1.5,1.58,0.3031,17.36,0.1887,0,SULIT
15,200,3,0.6,0,1.5,1.50,0.3142,18.00,0.1899,0,SULIT
15,200,3,0.6,0.5,1.5,1.58,0.3031,17.36,0.1887,0,SULIT
15,200,3,0.6,1,1.5,1.80,0.3358,19.24,0.2325,0,SULIT
15,200,3,0.6,1.5,1.5,2.12,0.3222,18.46,0.2840,0,SULIT
15,200,3,0.6,2,1.5,2.50,0.2588,14.83,0.3005,0,SULIT
15,200,3,0.6,2.5,1.5,2.92,0.1892,10.84,0.2957,0,SULIT
15,200,3,0.6,3,1.5,3.35,0.1349,7.73,0.2801,0,SULIT
15,200,3,0.6,3.5,1.5,3.81,0.0972,5.57,0.2580,0,SULIT
